"x" "y" "z"
"1" 19052 957 11
"2" 19072 997 5
"3" 19069 882 1
"4" 19097 845 1
"5" 19094 950 9
"6" 19115 867 1
"7" 19124 927 13
"8" 19135 919 5
"9" 19139 948 8
"10" 19130 903 8
"11" 19160 509 12
"12" 19161 572 10
"13" 19175 349 7
"14" 19153 949 12
"15" 19177 488 7
"16" 19150 858 11
"17" 19157 977 10
"18" 19172 544 7
"19" 19175 648 11
"20" 19185 415 11
"21" 19178 562 8
"22" 19172 859 6
"23" 19184 389 10
"24" 19171 754 11
"25" 19179 502 5
"26" 19192 605 7
"27" 19178 872 11
"28" 19165 959 6
"29" 19178 985 12
"30" 19190 304 12
"31" 19189 571 7
"32" 19202 266 12
"33" 19179 785 7
"34" 19183 830 12
"35" 19193 318 8
"36" 19186 633 12
"37" 19203 467 6
"38" 19205 383 7
"39" 19194 919 11
"40" 19190 684 8
"41" 19190 778 5
"42" 19208 311 7
"43" 19217 204 10
"44" 19191 872 11
"45" 19203 732 8
"46" 19213 347 7
"47" 19203 844 12
"48" 19213 456 7
"49" 19213 552 9
"50" 19206 993 12
"51" 19207 524 7
"52" 19218 372 12
"53" 19208 713 6
"54" 19210 868 8
"55" 19209 600 8
"56" 19231 183 11
"57" 19215 674 7
"58" 19230 279 6
"59" 19225 337 1
"60" 19220 716 10
"61" 19237 234 6
"62" 19232 759 7
"63" 19225 414 1
"64" 19222 888 1
"65" 19225 503 11
"66" 19216 818 7
"67" 19208 982 1
"68" 19224 945 8
"69" 19229 463 12
"70" 19244 320 10
"71" 19229 741 1
"72" 19229 802 6
"73" 19255 145 8
"74" 19233 964 12
"75" 19240 603 11
"76" 19234 673 9
"77" 19252 187 6
"78" 19251 227 11
"79" 19243 913 10
"80" 19234 1000 6
"81" 19246 755 12
"82" 19259 212 6
"83" 19263 304 7
"84" 19251 491 10
"85" 19261 443 11
"86" 19267 193 4
"87" 19272 222 4
"88" 19274 159 12
"89" 19263 581 11
"90" 19265 625 11
"91" 19277 191 5
"92" 19257 717 11
"93" 19283 68 2
"94" 19261 957 1
"95" 19260 819 10
"96" 19281 370 11
"97" 19256 733 7
"98" 19281 519 11
"99" 19274 658 11
"100" 19289 289 12
"101" 19256 869 12
"102" 19270 897 11
"103" 19278 410 10
"104" 19275 879 9
"105" 19287 175 8
"106" 19283 715 7
"107" 19268 977 11
"108" 19285 501 10
"109" 19298 112 8
"110" 19300 179 11
"111" 19287 313 12
"112" 19293 841 11
"113" 19303 217 10
"114" 19287 572 0
"115" 19305 309 7
"116" 19290 925 10
"117" 19280 986 8
"118" 19308 595 13
"119" 19308 627 10
"120" 19302 522 8
"121" 19305 476 0
"122" 19318 94 11
"123" 19302 692 11
"124" 19311 339 11
"125" 19300 785 11
"126" 19323 117 10
"127" 19327 12 7
"128" 19326 171 12
"129" 19326 329 1
"130" 19332 41 9
"131" 19295 757 10
"132" 19314 726 12
"133" 19295 956 9
"134" 19304 841 11
"135" 19310 550 9
"136" 19314 796 11
"137" 19324 896 1
"138" 19342 79 11
"139" 19331 419 11
"140" 19328 827 1
"141" 19326 660 11
"142" 19328 922 1
"143" 19346 151 12
"144" 19337 551 8
